epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,319.475,0.49109,0.35867,0.82319,0.97477,0.97983,0.99028,0.94713,0.40573,0.31298,0.78894,0.00663867,0.00663867,0.00663867
101,322.518,0.52273,0.35723,0.82448,0.97178,0.99545,0.98951,0.94006,0.3936,0.30132,0.7943,0.00657963,0.00657963,0.00657963
102,325.953,0.50291,0.34853,0.82048,0.94999,0.99881,0.99044,0.9408,0.4205,0.31861,0.79679,0.00652036,0.00652036,0.00652036
103,329.1,0.44831,0.32703,0.75664,0.96551,0.97454,0.98938,0.94176,0.39848,0.3158,0.79754,0.00646085,0.00646085,0.00646085
104,332.342,0.45215,0.32928,0.80747,0.92577,0.99903,0.98393,0.9232,0.44504,0.33798,0.79778,0.00640111,0.00640111,0.00640111
105,335.678,0.49198,0.34518,0.81669,0.94293,0.99485,0.98436,0.93776,0.42959,0.3244,0.80314,0.00634117,0.00634117,0.00634117
106,339.223,0.48005,0.34291,0.81701,0.94065,0.99343,0.98576,0.94144,0.37751,0.31833,0.79474,0.00628101,0.00628101,0.00628101
107,342.75,0.48832,0.34105,0.82198,0.92286,0.99545,0.97868,0.92998,0.40085,0.34712,0.79492,0.00622067,0.00622067,0.00622067
108,346.063,0.48982,0.34102,0.81418,0.93271,0.99545,0.98481,0.92603,0.39288,0.32283,0.79241,0.00616014,0.00616014,0.00616014
109,349.144,0.47239,0.33246,0.83212,0.93407,0.99924,0.98509,0.93533,0.40074,0.3214,0.79449,0.00609944,0.00609944,0.00609944
110,352.005,0.47407,0.36127,0.82058,0.94876,1,0.98806,0.93508,0.40974,0.31162,0.79998,0.00603856,0.00603856,0.00603856
111,354.725,0.47214,0.35058,0.81895,0.963,0.96575,0.98714,0.94243,0.38217,0.32645,0.79659,0.00597754,0.00597754,0.00597754
112,357.74,0.48486,0.35972,0.82093,0.97344,0.96875,0.9881,0.93656,0.4064,0.31882,0.79649,0.00591636,0.00591636,0.00591636
113,360.708,0.4492,0.3329,0.80712,0.97872,0.96875,0.9881,0.94364,0.39289,0.29639,0.79434,0.00585505,0.00585505,0.00585505
114,363.556,0.57986,0.45287,0.80853,0.97714,0.98165,0.99036,0.94735,0.36575,0.28619,0.78716,0.00579362,0.00579362,0.00579362
115,366.116,0.42488,0.32298,0.81407,0.95909,0.97433,0.98707,0.94576,0.36748,0.31411,0.7869,0.00573206,0.00573206,0.00573206
116,368.833,0.44742,0.32957,0.81874,0.94229,0.97736,0.98714,0.93695,0.39238,0.31491,0.78686,0.0056704,0.0056704,0.0056704
117,371.399,0.42916,0.31393,0.79769,0.94604,0.97645,0.98518,0.93068,0.38852,0.33162,0.79199,0.00560864,0.00560864,0.00560864
118,374.073,0.44116,0.31598,0.80487,0.96029,0.94858,0.97954,0.92208,0.39885,0.34932,0.79833,0.00554679,0.00554679,0.00554679
119,376.818,0.42995,0.3269,0.80393,0.95466,0.96577,0.98536,0.94103,0.39541,0.33751,0.80184,0.00548486,0.00548486,0.00548486
